date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/26/2021,IZRL,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,10399121.46,10399121.46,6.20
1/26/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,335835.00,4251671.10,2.54
1/26/2021,IZRL,"STRATASYS LTD",SSYS,M85548101,91972.00,3898693.08,2.33
1/26/2021,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,43464.00,3700090.32,2.21
1/26/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,222947.00,3469055.32,2.07
1/26/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,26856.00,3145549.19,1.88
1/26/2021,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,589665.00,3128172.83,1.87
1/26/2021,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,197952.00,3086071.68,1.84
1/26/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,153921.00,3056871.06,1.82
1/26/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,131579.00,3017106.47,1.80
1/26/2021,IZRL,"INMODE LTD",INMD,M5425M103,49378.00,2997244.60,1.79
1/26/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,280266.00,3007254.18,1.79
1/26/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,18104.00,3000738.00,1.79
1/26/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,98609.00,2938548.20,1.75
1/26/2021,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,237271.00,2923178.72,1.74
1/26/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,38022.00,2925792.90,1.74
1/26/2021,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,343562.00,2872178.32,1.71
1/26/2021,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,21668.00,2834174.40,1.69
1/26/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,85516.00,2816897.04,1.68
1/26/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,18722.00,2796518.85,1.67
1/26/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,27624.00,2804102.03,1.67
1/26/2021,IZRL,"RADWARE LTD",RDWR,M81873107,99766.00,2799433.96,1.67
1/26/2021,IZRL,"NOVA MEASURING INSTRUMENTS",NVMI,M7516K103,36615.00,2799582.90,1.67
1/26/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,81578.00,2790783.38,1.66
1/26/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,1853349.00,2780846.40,1.66
1/26/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,20654.00,2782790.83,1.66
1/26/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,584042.00,2773828.40,1.65
1/26/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,2635087.00,2758784.47,1.65
1/26/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,116987.00,2756213.72,1.64
1/26/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,332713.00,2754863.64,1.64
1/26/2021,IZRL,"SILICOM LTD",SILC,M84116108,62624.00,2738547.52,1.63
1/26/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,10224.00,2714267.52,1.62
1/26/2021,IZRL,"DARIOHEALTH CORP",DRIO,23725P209,115191.00,2705836.59,1.61
1/26/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,197095.00,2686404.85,1.60
1/26/2021,IZRL,"JFROG LTD",FROG,M6191J100,38436.00,2683217.16,1.60
1/26/2021,IZRL,"WIX.COM LTD",WIX,M98068105,10826.00,2669908.12,1.59
1/26/2021,IZRL,"HILAN LTD",HLAN,6267230,59908.00,2654465.38,1.58
1/26/2021,IZRL,"FIVERR INTERNATIONAL LTD",FVRR,M4R82T106,12283.00,2636054.63,1.57
1/26/2021,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,592191.00,2622127.53,1.56
1/26/2021,IZRL,"KAMADA LTD",KMDA,B0L2CR5,379721.00,2605734.64,1.55
1/26/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,116777.00,2557458.14,1.53
1/26/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,255711.00,2531538.90,1.51
1/26/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,197163.00,2423133.27,1.45
1/26/2021,IZRL,"AUGWIND ENERGY TECH STORAGE",BIMCM,B290CJ7,82020.00,2418631.84,1.44
1/26/2021,IZRL,"ITAMAR MEDICAL LTD",ITMR,B1VJHY5,2779503.00,2361858.36,1.41
1/26/2021,IZRL,"COMPUGEN LTD",CGEN,M25722105,191043.00,2367022.77,1.41
1/26/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,7934.00,2353859.12,1.40
