date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/25/2021,ARKF,"SQUARE INC - A",SQ,852234103,1091568.00,236477291.52,8.57
1/25/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1438671.00,138112416.00,5.00
1/25/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,836259.00,122812996.74,4.45
1/25/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,58575.00,110121000.00,3.99
1/25/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,1436145.00,105369958.65,3.82
1/25/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,924170.00,103932158.20,3.77
1/25/2021,ARKF,"SEA LTD-ADR",SE,81141R100,451403.00,103226838.04,3.74
1/25/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,395766.00,98051026.50,3.55
1/25/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,39914.00,90865629.78,3.29
1/25/2021,ARKF,"MEITUAN-CLASS B",3690,BGJW376,1609086.00,82986659.29,3.01
1/25/2021,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,313686.00,81991246.68,2.97
1/25/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,186055.00,70700900.00,2.56
1/25/2021,ARKF,"YEAHKA LTD",9923,BL58D39,6464000.00,69501341.59,2.52
1/25/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,779413.00,66912606.05,2.42
1/25/2021,ARKF,"AMAZON.COM INC",AMZN,023135106,20066.00,66097404.00,2.39
1/25/2021,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,9757345.00,64318927.95,2.33
1/25/2021,ARKF,"SNAP INC - A",SNAP,83304A106,1189269.00,63804281.85,2.31
1/25/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,252147.00,61624726.80,2.23
1/25/2021,ARKF,"APPLE INC",AAPL,037833100,425405.00,60798882.60,2.20
1/25/2021,ARKF,"LENDINGTREE INC","TREE UW",52603B107,172402.00,56549580.02,2.05
1/25/2021,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,813796.00,56316382.40,2.04
1/25/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,44753.00,53968537.76,1.96
1/25/2021,ARKF,"Z HOLDINGS CORP",4689,6084848,7920407.00,52675496.28,1.91
1/25/2021,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,183440.00,50998154.40,1.85
1/25/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,205982.00,48403710.18,1.75
1/25/2021,ARKF,"SPLUNK INC",SPLK,848637104,276350.00,47507328.50,1.72
1/25/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,1677580.00,45848261.40,1.66
1/25/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,154057.00,44228224.13,1.60
1/25/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,424549.00,41767130.62,1.51
1/25/2021,ARKF,"INTUIT INC",INTU,461202103,110621.00,41419821.03,1.50
1/25/2021,ARKF,"PINDUODUO INC-ADR",PDD,722304102,228653.00,41255860.79,1.49
1/25/2021,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,313243.00,40884476.36,1.48
1/25/2021,ARKF,"BASE INC",4477,BKRQ8Q2,280600.00,36668780.42,1.33
1/25/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,848008.00,34386724.40,1.25
1/25/2021,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,601896.00,34356223.68,1.24
1/25/2021,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,269896.00,33183713.20,1.20
1/25/2021,ARKF,"KE HOLDINGS INC",BEKE,482497104,427284.00,30251707.20,1.10
1/25/2021,ARKF,"NVIDIA CORP",NVDA,67066G104,49900.00,27251887.00,0.99
1/25/2021,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,344500.00,25382760.00,0.92
1/25/2021,ARKF,"DISCOVERY LTD",DSY,6177878,2869385.00,24178397.37,0.88
1/25/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,1879598.00,21258253.38,0.77
1/25/2021,ARKF,"HONG KONG DOLLAR",,HKD,151692561.05,19568183.83,0.71
