date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/25/2021,ARKQ,"TESLA INC",TSLA,88160R101,385495.00,339543996.00,11.41
1/25/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,2280909.00,156151030.14,5.25
1/25/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,520717.00,132715141.79,4.46
1/25/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,1859240.00,131745746.40,4.43
1/25/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,1328821.00,130729409.98,4.39
1/25/2021,ARKQ,"DEERE & CO",DE,244199105,418498.00,124796103.60,4.19
1/25/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,6914164.00,115189972.24,3.87
1/25/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,3630313.00,108800480.61,3.66
1/25/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,53511.00,101638793.40,3.42
1/25/2021,ARKQ,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,762903.00,99574099.56,3.35
1/25/2021,ARKQ,"NXP SEMICONDUCTORS NV",NXPI,N6596X109,512896.00,89459320.32,3.01
1/25/2021,ARKQ,"BYD CO LTD-UNSPONSORED ADR",BYDDY,05606L100,1252071.00,88396212.60,2.97
1/25/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,1789713.00,87695937.00,2.95
1/25/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,580736.00,77934771.20,2.62
1/25/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,385022.00,72130021.48,2.42
1/25/2021,ARKQ,"VIRGIN GALACTIC HOLDINGS INC",SPCE,92766K106,1949405.00,70178580.00,2.36
1/25/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,2396688.00,68281641.12,2.29
1/25/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,1285743.00,63219983.31,2.12
1/25/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,231891.00,62524770.33,2.10
